SampleID	CPER_002-M-14-37-20140117
Janibacter	14411
Jannaschia	4155
Janthinobacterium	7865
Jasminum	2
Jatropha	4
Jeotgalibacillus	1
Joenina	1
Joinvillea	2
Jonesia	2926
Jonquetella	811
Jungermannia	1
Juniperus	1
Junonia	1
Kalmusia	3
Kangiella	2644
Karenia	41
Karlodinium	21
Katumotoa	1
Kazachstania	4
Keteleeria	1
Ketogulonicigenium	2704
Kibdelosporangium	163
Kineococcus	29761
Kinetoplastibacterium	1
Kingella	403
Kinyongia	2
Kitasatospora	11830
Klebsiella	3747
Klebsormidium	16
Kluyvera	2
Kluyveromyces	170
Kocuria	3194
Komagataella	70
Kordia	1612
Kosmotoga	1456
Kozakia	4
Kribbella	69741
Kryptolebias	1
Kryptoperidinium	26
Ktedonobacter	47765
Kukulcania	1
Kurthia	18
Kutzneria	62
Kyrpidia	8005
Kytococcus	5682
L5-like viruses	3
LUZ24-like viruses	6
Labrenzia	10622
Laccaria	516
Laceyella	5
Lachancea	67
Lactarius	3
Lactobacillus	9065
Lactococcus	1062
Lactoris	1
Lactuca	5
Lagenidium	1
Lagocephalus	1
Lama	3
Lambda-like viruses	40
Lambertia	3
Laminaria	2
Lamprocystis	1
Lamprogrammus	1
Lamprothamnium	1
Laqueus	1
Laribacter	2683
Lasiosphaeria	1
Lates	1
Lathyrus	1
Latrodectus	4
Laurus	16
Lautropia	1341
Lawsonia	1619
Leadbetterella	3807
Lecanicillium	2
Lecanora	2
Leccinum	1
Lechevalieria	64
Leeuwenhoekiella	3808
Legionella	8253
Leifsonia	7569
Leiolepis	1
Leishmania	271
Lemna	5
Lemur	1
Lens	3
Lentinula	5
Lentisphaera	2490
Lentithecium	2
Lentivirus	2
Lentzea	5
Leohumicola	1
Lepeophtheirus	31
Lepidium	1
Lepidozamia	1
Lepocinclis	2
Leptochiton	4
Leptographium	2
Leptolegnia	1
Leptolyngbya	150
Leptonema	1
Leptorhynchoides	1
Leptosira	4
Leptosphaeria	490
Leptospira	9039
Leptospirillum	4955
Leptothrix	9374
Leptotrichia	1000
Lestrigonus	1
Leucilla	1
Leuconostoc	1040
Leucopoa	1
Leucosolenia	6
Leucothrix	1
Leymus	4
Lilium	1
Limnanthes	1
Limnobacter	1942
Limulus	1
Linderina	1
Lindmania	1
Linum	1
Liporrhopalum	2
Liquidambar	1
Liriodendron	2
Liriomyza	2
Listeria	4235
Listonella	21
Lithospermum	1
Litopenaeus	3
Loa	137
Lobularia	1
Locusta	2
Lodderomyces	118
Loeseneriella	1
Loktanella	1525
Lolium	16
Lonepinella	3
Longidorus	2
Lonicera	2
Lonomia	2
Lonsdalea	1
Lophodermium	1
Lophopyrum	4
Lotus	8
Loxodonta	5
Lubomirskia	3
Lucilia	1
Lupinus	5
Lutiella	3872
Luzula	1
Lyciasalamandra	1
Lycodichthys	1
Lycopodium	1
Lygistorrhina	1
Lygodium	1
Lymnaea	4
Lymphocryptovirus	1
Lyngbya	4551
Lyophyllum	1
Lysimachia	1
Lysinibacillus	1557
Lysiphlebus	4
Lysobacter	127
Lytechinus	3
Macaca	200
Macavirus	5
Macfadyena	1
Maconellicoccus	3
Macrobiotus	3
Macrobrachium	2
Macrococcus	473
Macropus	22
Macroscelides	2
Macrovipera	1
Macrozamia	1
Madrepora	1
Magnaporthe	1370
Magnetococcus	6796
Magnetospirillum	39165
Magnolia	2
Makaira	1
Malassezia	181
Malawimonas	6
Malonomonas	6
Malpighia	2
Malus	10
Mamestra	1
Manduca	13
Manihot	1
Manis	1
Mannheimia	287
Marasmius	1
Marchantia	39
Mardivirus	1
Maribacter	4006
Maricaulis	7567
Marichromatium	2
Marinitoga	1497
Marinobacter	10617
Marinobacterium	5
Marinomonas	3425
Marinoscillum	1
Marinosulfonomonas	4
Maripa	1
Mariprofundus	2438
Maritimibacter	3994
Marivirga	3536
Marphysa	2
Marssonina	1
Martelella	2
Massarina	2
Massilia	4
Mastadenovirus	1
Mastigamoeba	14
Mastigocladus	11
Mecistocirrus	1
Medicago	109
Megaleranthis	4
Megalurothrips	2
Megamonas	3
Megasphaera	1083
Meiothermus	18326
Melanoplus	1
Melanthalia	1
Melica	1
Melinis	1
Meliosma	1
Melittangium	1
Meloidogyne	5
Melopsittacus	1
Membracis	1
Menodora	1
Mentha	1
Merremia	1
Merxmuellera	8
Mesembryanthemum	28
Mesenchytraeus	1
Mesobuthus	1
